1	  10.01.2020	  23:47:19	    temperatur	  25.600000381469727	    feuchtigkeit	  44.29999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 2	  10.01.2020	  23:48:19	    temperatur	  25.600000381469727	    feuchtigkeit	  44.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 3	  10.01.2020	  23:49:20	    temperatur	  25.600000381469727	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 4	  10.01.2020	  23:50:20	    temperatur	  25.600000381469727	    feuchtigkeit	  45.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 5	  10.01.2020	  23:51:21	    temperatur	  25.600000381469727	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 6	  10.01.2020	  23:52:21	    temperatur	  25.5	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 7	  10.01.2020	  23:53:24	    temperatur	  25.5	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 8	  10.01.2020	  23:54:25	    temperatur	  25.399999618530273	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 9	  10.01.2020	  23:55:26	    temperatur	  25.399999618530273	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 10	  10.01.2020	  23:56:26	    temperatur	  25.399999618530273	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 11	  10.01.2020	  23:57:27	    temperatur	  25.399999618530273	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 12	  10.01.2020	  23:58:27	    temperatur	  25.299999237060547	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 13	  10.01.2020	  23:59:28	    temperatur	  25.299999237060547	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 14	  11.01.2020	  00:00:29	    temperatur	  25.299999237060547	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 15	  11.01.2020	  00:01:29	    temperatur	  25.299999237060547	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 16	  11.01.2020	  00:02:30	    temperatur	  25.299999237060547	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 17	  11.01.2020	  00:03:30	    temperatur	  25.299999237060547	    feuchtigkeit	  44.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 18	  11.01.2020	  00:04:31	    temperatur	  25.299999237060547	    feuchtigkeit	  44.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 19	  11.01.2020	  00:05:31	    temperatur	  25.299999237060547	    feuchtigkeit	  44.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 20	  11.01.2020	  00:06:32	    temperatur	  25.299999237060547	    feuchtigkeit	  44.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 21	  11.01.2020	  00:07:35	    temperatur	  25.299999237060547	    feuchtigkeit	  45.0	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
